References,Vegetation,Local,Family,Specie,N(g kg-1),P(g kg-1),K(g kg-1),Ca(g kg-1),Mg(g kg-1),Fe(mg kg-1),Mn(mg kg-1),Zn(mg kg-1),Cu(mg kg-1),Al(mg kg-1)
"Silva, P.E.N. (1991)",mata,Taquara,Rosaceae,Prunus sp,NA,0.14,1.43,2.35,0.46,144,195,NA,NA,668
"Silva, P.E.N. (1991)",mata,Taquara,Phyllanthaceae,Richeria obovata (Müll.Arg.) Pax & K.Hoffm.,1.31,0.13,1.35,2.13,0.88,163,77,NA,NA,22461
"Silva, P.E.N. (1991)",mata,Taquara,Phyllanthaceae,Richeria obovata (Müll.Arg.) Pax & K.Hoffm.,1.57,0.08,2.01,1.78,0.54,114,84,NA,NA,20565
"Silva, P.E.N. (1991)",mata,Taquara,Bignoniaceae,Tabebuia sp,1.31,0.26,2.27,1.05,0.8,95,108,NA,NA,577
"Silva, P.E.N. (1991)",mata,Taquara,Bignoniaceae,Tabebuia sp,1.18,0.09,0.9,1.62,1.06,153,172,NA,NA,947
"Silva, P.E.N. (1991)",mata,Taquara,Magnoliaceae,Magnolia ovata  (A.St.-Hil.) Spreng.,1.23,0.08,0.61,2.48,0.31,70,80,NA,NA,1257
"Silva, P.E.N. (1991)",mata,Taquara,Magnoliaceae,Magnolia ovata  (A.St.-Hil.) Spreng.,1.23,0.05,0.84,2.67,0.32,88,75,NA,NA,469
"Silva, P.E.N. (1991)",mata,Taquara,Anacardiaceae,Tapirira guianensis Aubl.,1.31,0.09,0.65,2.94,0.23,78,24,NA,NA,981
"Silva, P.E.N. (1991)",mata,Taquara,Anacardiaceae,Tapirira guianensis Aubl.,1.22,0.06,0.65,2.67,0.34,77,31,NA,NA,381
"Silva, P.E.N. (1991)",mata,Taquara,Dichapetalaceae,Tapura amazonica Poepp. & Endl.,1.05,0.14,0.65,1.81,0.25,133,20,NA,NA,302
"Silva, P.E.N. (1991)",mata,Taquara,Myristicaceae,Virola sebifera,1.18,0.05,0.58,1.53,0.26,8,78,NA,NA,621
"Silva, P.E.N. (1991)",mata,Taquara,Annonaceae,Xylopia emarginata Mart.,1.49,0.01,0.76,1.69,0.4,135,49,NA,NA,939
"Silva, P.E.N. (1991)",mata,Taquara,Annonaceae,Xylopia emarginata Mart.,1.31,0.05,0.73,1,0.32,77,55,NA,NA,429
"Silva, P.E.N. (1991)",mata,Monjolo,Rubiaceae,Amaioua guianensis Aubl.,1.31,0.08,1.19,0.43,0.4,162,56,NA,NA,678
"Silva, P.E.N. (1991)",mata,Monjolo,Rubiaceae,Amaioua guianensis Aubl.,1.31,0.06,0.97,0.37,0.38,127,85,NA,NA,845
"Silva, P.E.N. (1991)",mata,Monjolo,Apocynaceae,Aspidosperma discolor A.DC.,1.57,0.08,1.23,0.81,0.81,157,61,NA,NA,488
"Silva, P.E.N. (1991)",mata,Monjolo,Apocynaceae,Aspidosperma discolor A.DC.,1.67,0.08,0.88,0.6,0.95,119,59,NA,NA,687
"Silva, P.E.N. (1991)",mata,Monjolo,Anarcadiaceae,Astronium graveolens Jacq.,1.31,0.08,1.28,0.51,0.41,125,25,NA,NA,910
"Silva, P.E.N. (1991)",mata,Monjolo,Anarcadiaceae,Astronium graveolens Jacq.,1.32,0.1,1.2,0.34,0.59,190,58,NA,NA,1098
"Silva, P.E.N. (1991)",mata,Monjolo,Myrtaceae,Blepharocalyx salicifolius (Kunth) O.Berg,0.79,0.07,0.59,0.69,0.59,95,11,NA,NA,435
"Silva, P.E.N. (1991)",mata,Monjolo,Myrtaceae,Blepharocalyx salicifolius (Kunth) O.Berg,1.32,0.07,0.52,0.71,0.71,124,17,NA,NA,286
