references,vegetation,local,family,specie,month,nitrogen,phosphorus,potassium,calcium,magnesium,iron,manganese,zinc,copper,aluminum
"Silva, P.E.N. (1991)",Mata,Taquara,Anacardiaceae,Tapirira guianensis Aubl.,march,1.22,0.06,0.65,2.67,0.34,77,31,NA,NA,381
"Silva, P.E.N. (1991)",Mata,Taquara,Dichapetalaceae,Tapura amazonica Poepp. & Endl.,march,1.05,0.14,0.65,1.81,0.25,133,20,NA,NA,302
"Silva, P.E.N. (1991)",Mata,Taquara,Myristicaceae,Virola sebifera,march,1.18,0.05,0.58,1.53,0.26,8,78,NA,NA,621
"Silva, P.E.N. (1991)",Mata,Taquara,Annonaceae,Xylopia emarginata Mart.,september,1.49,0.01,0.76,1.69,0.40,135,49,NA,NA,939
"Silva, P.E.N. (1991)",Mata,Taquara,Annonaceae,Xylopia emarginata Mart.,march,1.31,0.05,0.73,1.00,0.32,77,55,NA,NA,429
"Silva, P.E.N. (1991)",Mata,Monjolo,Rubiaceae,Amaioua guianensis Aubl.,september,1.31,0.08,1.19,0.43,0.4,162,56,NA,NA,678
"Silva, P.E.N. (1991)",Mata,Monjolo,Rubiaceae,Amaioua guianensis Aubl.,march,1.31,0.06,0.97,0.37,0.38,127,85,NA,NA,845
"Silva, P.E.N. (1991)",Mata,Monjolo,Apocynaceae,Aspidosperma discolor A.DC.,september,1.57,0.08,1.23,0.81,0.81,157,61,NA,NA,488
"Silva, P.E.N. (1991)",Mata,Monjolo,Apocynaceae,Aspidosperma discolor A.DC.,march,1.67,0.08,0.88,0.60,0.95,119,59,NA,NA,687
"Silva, P.E.N. (1991)",Mata,Monjolo,Anarcadiaceae,Astronium graveolens Jacq.,september,1.31,0.08,1.28,0.51,0.41,125,25,NA,NA,910
"Silva, P.E.N. (1991)",Mata,Monjolo,Anarcadiaceae,Astronium graveolens Jacq.,march,1.32,0.10,1.20,0.34,0.59,190,58,NA,NA,1098
"Silva, P.E.N. (1991)",Mata,Monjolo,Myrtaceae,Blepharocalyx salicifolius (Kunth) O.Berg,september,0.79,0.07,0.59,0.69,0.59,95,11,NA,NA,435
"Silva, P.E.N. (1991)",Mata,Monjolo,Myrtaceae,Blepharocalyx salicifolius (Kunth) O.Berg,march,1.32,0.07,0.52,0.71,0.71,124,17,NA,NA,286
"Silva, P.E.N. (1991)",Mata,Monjolo,Calophyllaceae,Calophyllum brasiliense Cambess.,september,1.32,0.05,0.69,0.63,0.51,202,55,NA,NA,689
"Silva, P.E.N. (1991)",Mata,Monjolo,Calophyllaceae,Calophyllum brasiliense Cambess.,march,1.05,0.06,1.23,0.29,0.45,86,27,NA,NA,302
"Silva, P.E.N. (1991)",Mata,Monjolo,Celastraceae,Cheiloclinium cognatum (Miers) A.C.Sm.,september,1.25,0.08,0.90,0.63,0.64,199,30,NA,NA,647
"Silva, P.E.N. (1991)",Mata,Monjolo,Celastraceae,Cheiloclinium cognatum (Miers) A.C.Sm.,march,1.31,0.07,0.89,0.54,0.61,116,33,NA,NA,632
"Silva, P.E.N. (1991)",Mata,Monjolo,Leguminosae,Copaifera langsdorffii Desf.,september,1.32,0.11,0.98,0.32,0.34,121,272,NA,NA,1369
"Silva, P.E.N. (1991)",Mata,Monjolo,Leguminosae,Copaifera langsdorffii Desf.,march,1.05,0.11,0.62,0.73,0.53,114,220,NA,NA,736
"Silva, P.E.N. (1991)",Mata,Monjolo,Lauraceae,Cryptocarya aschersoniana Mez,september,1.84,0.07,1.26,0.23,0.20,168,421,NA,NA,506
"Silva, P.E.N. (1991)",Mata,Monjolo,Lauraceae,Cryptocarya aschersoniana Mez,march,0.79,0.07,1.29,0.25,0.19,169,489,NA,NA,844
"Silva, P.E.N. (1991)",Mata,Monjolo,Sapotaceae,Chrysophyllum marginatum (Hook. & Arn.) Radlk.,march,1.32,0.08,1.11,0.53,0.52,122,32,NA,NA,657
"Silva, P.E.N. (1991)",Mata,Monjolo,Sapindaceae,Cupania vernalis Cambess.,september,1.58,0.10,1.15,0.55,0.71,133,1077,NA,NA,1584
"Silva, P.E.N. (1991)",Mata,Monjolo,Sapindaceae,Cupania vernalis Cambess.,march,1.32,0.07,1.63,0.29,0.47,159,355,NA,NA,660
"Silva, P.E.N. (1991)",Mata,Monjolo,Icacinaceae,Emmotum nitens (Benth.) Miers,september,1.05,0.09,0.74,0.49,0.51,320,23,NA,NA,1306
"Silva, P.E.N. (1991)",Mata,Monjolo,Icacinaceae,Emmotum nitens (Benth.) Miers,march,1.58,0.06,0.88,0.31,0.58,236,27,NA,NA,1019
"Silva, P.E.N. (1991)",Mata,Monjolo,Myrtaceae,Gomidesia cf. lindeniana O.Berg,march,1.58,0.08,0.80,0.40,0.48,292,573,NA,NA,1058
"Silva, P.E.N. (1991)",Mata,Monjolo,Annonaceae,Guatteria sellowiana Schltdl.,september,1.49,0.16,1.13,0.65,0.67,253,146,NA,NA,775
"Silva, P.E.N. (1991)",Mata,Monjolo,Annonaceae,Guatteria sellowiana Schltdl.,march,1.40,0.05,0.95,0.50,0.53,114,140,NA,NA,1010
"Silva, P.E.N. (1991)",Mata,Monjolo,Rubiaceae,Ixora brevifolia Benth.,september,1.84,0.05,0.55,0.58,0.40,199,220,NA,NA,23320
"Silva, P.E.N. (1991)",Mata,Monjolo,Rubiaceae,Ixora brevifolia Benth.,march,1.35,0.05,0.60,0.63,0.56,124,176,NA,NA,28090
"Silva, P.E.N. (1991)",Mata,Monjolo,Chrysobalanaceae,Licania apetala (E.Mey.) Fritsch,september,1.31,0.09,0.67,0.24,0.31,167,49,NA,NA,821
"Silva, P.E.N. (1991)",Mata,Monjolo,Chrysobalanaceae,Licania apetala (E.Mey.) Fritsch,march,1.05,0.08,0.69,0.27,0.39,129,41,NA,NA,752
"Silva, P.E.N. (1991)",Mata,Monjolo,Euphorbiaceae,Maprounea guianensis Aubl.,march,1.05,0.06,0.53,0.23,0.30,106,82,NA,NA,579
"Silva, P.E.N. (1991)",Mata,Monjolo,Celastraceae,Maytenus floribunda Reissek,september,1.58,0.08,1.09,0.08,0.14,72,62,NA,NA,609
"Silva, P.E.N. (1991)",Mata,Monjolo,Celastraceae,Maytenus floribunda Reissek,march,1.05,0.07,0.72,0.19,0.27,127,130,NA,NA,430
"Silva, P.E.N. (1991)",Mata,Monjolo,Melastomataceae,Miconia sellowiana Naudin,september,1.58,0.04,0.65,0.31,0.28,91,158,NA,NA,5603
"Silva, P.E.N. (1991)",Mata,Monjolo,Melastomataceae,Miconia sellowiana Naudin,march,1.38,0.05,0.47,0.37,0.38,98,173,NA,NA,8829
"Silva, P.E.N. (1991)",Mata,Monjolo,Lauraceae,Nectandra lanceolata Nees,september,1.18,0.08,0.98,0.38,0.47,270,205,NA,NA,1116
"Silva, P.E.N. (1991)",Mata,Monjolo,Lauraceae,Nectandra lanceolata Nees,march,1.44,0.07,0.69,0.52,0.66,179,567,NA,NA,929
"Silva, P.E.N. (1991)",Mata,Monjolo,Lauraceae,Ocotea spixiana (Nees) Mez,march,1.71,0.10,0.78,0.29,0.30,159,233,NA,NA,985
"Silva, P.E.N. (1991)",Mata,Monjolo,Asteraceae,Piptocarpha macropoda (DC.) Baker,march,1.64,0.14,1.58,0.48,0.56,197,243,NA,NA,778
"Silva, P.E.N. (1991)",Mata,Monjolo,Sapotaceae,Pouteria ramiflora (Mart.) Radlk.,september,1.45,0.08,0.58,0.16,0.25,129,120,NA,NA,530
"Silva, P.E.N. (1991)",Mata,Monjolo,Sapotaceae,Pouteria ramiflora (Mart.) Radlk.,march,1.38,0.06,0.64,0.19,0.26,119,181,NA,NA,618
"Silva, P.E.N. (1991)",Mata,Monjolo,Burseraceae,Protium heptaphyllum (Aubl.) Marchand,september,1.63,0.09,0.70,0.39,0.33,223,55,NA,NA,883
"Silva, P.E.N. (1991)",Mata,Monjolo,Burseraceae,Protium heptaphyllum (Aubl.) Marchand,march,1.25,0.09,0.87,0.23,0.27,150,65,NA,NA,672
"Silva, P.E.N. (1991)",Mata,Monjolo,Moraceae,Pseudolmedia laevigata Trécul,september,1.40,0.06,0.81,0.32,0.42,123,474,NA,NA,1288
"Silva, P.E.N. (1991)",Mata,Monjolo,Moraceae,Pseudolmedia laevigata Trécul,march,1.38,0.06,1.17,0.39,0.46,114,356,NA,NA,495
"Silva, P.E.N. (1991)",Mata,Monjolo,Anacardiaceae,Tapirira guianensis Aubl.,september,1.64,0.11,0.86,0.76,0.64,190,30,NA,NA,627
"Silva, P.E.N. (1991)",Mata,Monjolo,Anacardiaceae,Tapirira guianensis Aubl.,march,1.18,0.30,0.58,0.65,0.73,222,33,NA,NA,664
